lineage_id,run_family,table_consumer,dataset,split,split_base_seed,fold,split_seed,model,epochs_claimed,batch_claimed,epochs_evidence,batch_evidence,commit_introducing_auc,commit_date,config_path_at_commit,config_blob_sha,config_epochs_at_commit,config_batch_at_commit,result_artifact,checkpoint_path,log_path,mlflow_run,env_manifest,file_mtime_utc,evidence_strength,notes
G30-17-F1,gkt_epochs30,S22,xes3g5m,learner_temporal_3fold,17,1,18,gkt,30,32 @0982891d,STALE LOG,STALE LOG,007f621f,2026-06-16,xes3g5m_gkt_epochs30.yaml @007f621f,3772fae7…,30,32,results/q1/gkt_epochs30_s17/baseline_fold_results.csv,ABSENT,logs/q1/gkt_epochs30_s17.log (stale),ABSENT,,2026-06-17T02:13:52Z,ARTIFACT_TAG_ONLY,
G30-17-F2,gkt_epochs30,S22,xes3g5m,learner_temporal_3fold,17,2,19,gkt,30,32 @007f621f,STALE LOG,STALE LOG,007f621f,2026-06-16,xes3g5m_gkt_epochs30.yaml @007f621f,3772fae7…,30,32,results/q1/gkt_epochs30_s17/baseline_fold_results.csv,ABSENT,stale log,ABSENT,,2026-06-17T02:13:52Z,ARTIFACT_TAG_ONLY,
G30-1234-F0,gkt_epochs30,S22,xes3g5m,learner_temporal_3fold,1234,0,1234,gkt,30,32 (at final commits),STALE LOG,STALE LOG,bbb63404 / later syncs,2026-06-16+,xes3g5m_gkt_epochs30.yaml HEAD,3772fae7…,30,32,results/q1/gkt_epochs30_s1234/baseline_fold_results.csv,ABSENT,logs/q1/gkt_epochs30_s1234.log (0.71-era),ABSENT,,2026-06-17T02:13:52Z,ARTIFACT_TAG_ONLY,Early d9efa271 AUC~0.711; paper 0.835662
G30-1234-F1,gkt_epochs30,S22,xes3g5m,learner_temporal_3fold,1234,1,1235,gkt,30,32,STALE LOG,STALE LOG,bbb63404+,2026-06-16+,HEAD yaml,3772fae7…,30,32,results/q1/gkt_epochs30_s1234/baseline_fold_results.csv,ABSENT,stale log,ABSENT,,2026-06-17T02:13:52Z,ARTIFACT_TAG_ONLY,
G30-1234-F2,gkt_epochs30,S22,xes3g5m,learner_temporal_3fold,1234,2,1236,gkt,30,32,STALE LOG,STALE LOG,bbb63404+,2026-06-16+,HEAD yaml,3772fae7…,30,32,results/q1/gkt_epochs30_s1234/baseline_fold_results.csv,ABSENT,stale log,ABSENT,,2026-06-17T02:13:52Z,ARTIFACT_TAG_ONLY,
SK30-42-F0,simplekt30,S22 (preferred ref),xes3g5m,learner_temporal_3fold,42,0,42,simplekt,30 (tag/commit msg),64 (parity footnote; not in JSON),NOT IN JSON,NOT IN JSON,004691d3276f585bc5301563a778b78105cf4d1a,2026-06-17,implied pykt defaults / trio yaml epochs 30 — NOT snapshot in cache JSON,n/a,30 (commit message + tag),NOT VERIFIED in artifact,git:004691d3 results/cache/xes3g5m_fold_0_simplekt_s42_train_only_result.json (DELETED in 85afe0c8; recoverable),ABSENT,ABSENT,ABSENT,ABSENT,deleted from WT/HEAD,ARTIFACT_TAG_ONLY,AUC 0.874392 matches q1_baseline_fold_results simplekt30/trio; JSON has no epochs field
SK30-42-F1,simplekt30,S22,xes3g5m,learner_temporal_3fold,42,1,43,simplekt,30,NOT VERIFIED,NOT IN JSON,NOT IN JSON,004691d3,2026-06-17,n/a,n/a,30 tag,NOT VERIFIED,git cache fold_1 simplekt_s42 (deleted),ABSENT,ABSENT,ABSENT,,deleted,ARTIFACT_TAG_ONLY,
SK30-42-F2,simplekt30,S22,xes3g5m,learner_temporal_3fold,42,2,44,simplekt,30,NOT VERIFIED,NOT IN JSON,NOT IN JSON,004691d3,2026-06-17,n/a,n/a,30 tag,NOT VERIFIED,git cache fold_2 simplekt_s42 (deleted),ABSENT,ABSENT,ABSENT,,deleted,ARTIFACT_TAG_ONLY,
SK30-17-*,simplekt30,S22,xes3g5m,learner_temporal_3fold,17,0-2,17-19,simplekt,30,NOT VERIFIED,NOT IN JSON,NOT IN JSON,004691d3,2026-06-17,n/a,n/a,30 tag,NOT VERIFIED,git cache simplekt_s17 folds (deleted 85afe0c8),ABSENT,ABSENT,ABSENT,,deleted,ARTIFACT_TAG_ONLY,AUCs identical to trio_matched_s17 where both exist
SK30-1234-*,simplekt30,S22,xes3g5m,learner_temporal_3fold,1234,0-2,1234-1236,simplekt,30,NOT VERIFIED,NOT IN JSON,NOT IN JSON,004691d3,2026-06-17,n/a,n/a,30 tag,NOT VERIFIED,git cache simplekt_s1234 (deleted),ABSENT,ABSENT,ABSENT,,deleted,ARTIFACT_TAG_ONLY,
TRIO-42-SK,trio_matched,S22 fallback,xes3g5m,learner_temporal_3fold,42,0-2,42-44,simplekt,30 (shell/config intent),32 pykt.batch in trio yaml (conflicts with prose 64),NOT VERIFIED,NOT VERIFIED,cbbecb8d (Phase 3) / rows persist in merged CSV,2026-06-16,configs/experiments/xes3g5m_primary_trio_matched.yaml @cbbecb8d,see git blob at cbbecb8d,30 (pykt.epochs),32 (pykt.batch_size),results/tables/q1_baseline_fold_results.csv tags trio_matched_s42 — NO results/q1/trio_* folder,ABSENT,ABSENT (no trio_matched*.log),ABSENT,ABSENT,n/a,ARTIFACT_TAG_ONLY,AUCs equal simplekt30 on shared folds; cannot prove separate training
TRIO-17-SK,trio_matched,S22 fallback,xes3g5m,learner_temporal_3fold,17,0-2,17-19,simplekt,30,32 @trio yaml,NOT VERIFIED,NOT VERIFIED,cbbecb8d+,2026-06-16,xes3g5m_primary_trio_matched.yaml,n/a,30,32,q1_baseline_fold_results.csv trio_matched_s17,ABSENT,ABSENT,ABSENT,,n/a,ARTIFACT_TAG_ONLY,
TRIO-1234-SK,trio_matched,S22 fallback,xes3g5m,learner_temporal_3fold,1234,0-2,1234-1236,simplekt,30,32 @trio yaml,NOT VERIFIED,NOT VERIFIED,cbbecb8d+,2026-06-16,xes3g5m_primary_trio_matched.yaml,n/a,30,32,q1_baseline_fold_results.csv trio_matched_s1234,ABSENT,ABSENT,ABSENT,,n/a,ARTIFACT_TAG_ONLY,
S15-META,training_parity_table,S15,xes3g5m,n/a,n/a,n/a,n/a,multi,from generate_training_parity.py,from then-current YAML,N/A (table not a run),N/A,a288d4a0 / 43aa5c11 regenerated tex,2026-06-14/17,configs/xes3g5m.yaml @a288d4a0,e90aa905cb3c3b31ba6f2718b60a356572f90ffd,GKT10/simpleKT30,GKT16 / simpleKT64,results/tables/training_parity.tex (csv still shows GKT batch 4),N/A,N/A,N/A,N/A,tex mtime 2026-06-17,CONFIG_INTENDED_ONLY,S15 is a config dump not execution certificate; csv/tex disagree on GKT batch
S16-META,bootstrap_delta,S16,xes3g5m,from primary folds,42,0-2,42-44,gkt-simplekt,inherits primary,inherits primary,NOT VERIFIED,NOT VERIFIED,inherits 619c02cf AUCs; table gen a546d795+,2026-06-10+,n/a,n/a,inherits primary,inherits primary,results/tables/bootstrap_auc_ci.tex/.csv,N/A,N/A,N/A,N/A,n/a,NOT VERIFIED for hp,Delta only; no independent epoch/batch evidence
STALE-LOG-G30,gkt_epochs30_early,NOT paper S21/S22,xes3g5m,learner_temporal_3fold,17/1234,varies,varies,gkt,30 EXECUTION_VERIFIED in log,batch NOT PRINTED in log,max pyKT epoch 30 in logs/q1/gkt_epochs30_s{17,1234}.log,NOT VERIFIED (no batch line),d9efa271,2026-06-16,xes3g5m_gkt_epochs30.yaml then batch 16 (b8b4fa2b),47f0082a… or earlier,30,16 then,early q1 CSV AUC~0.71 (superseded),ckpt path logged under results/pykt_work/.../gkt_p0_protocol_best.ckpt,logs/q1/gkt_epochs30_s17.log; s1234.log,ABSENT,ABSENT,log mtime 2026-06-16,EXECUTION_VERIFIED (epochs only; stale AUC),Do NOT use to certify paper 0.84 AUCs
CUR-YAML,current_workspace_yaml,n/a,xes3g5m,n/a,n/a,n/a,n/a,gkt/simplekt,GKT10 / simpleKT30,GKT8 / simpleKT64,N/A,N/A,HEAD,2026-06-24+ (gkt batch 8 since 955a8202),configs/xes3g5m.yaml HEAD,79807715c9004cb8387187c092a8529d2a6dafab,10/30,8/64,N/A,N/A,N/A,N/A,N/A,n/a,CONFIG_INTENDED_ONLY,Explicitly NOT historical execution evidence (F-R12)
